ref,Val,Package,angle,r,x,y,rot,side,oldx,oldy
U1,ATtiny406-M,extra_clearence_VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,,,120,-90,-90,bottom,118.87,-86.377071
C1,0.1μF,R_0402_1005Metric_short_lines,3,3.3,117.666547622084,-87.6665476220844,-135,bottom,116.63433,-84.080187
R1,0,Jumpered_R_0402_1005Metric,0,3.3,123.3,-90,90,bottom,118.833431,-83.097309
R2,0,Jumpered_R_0402_1005Metric,1,3.3,122.333452377916,-87.6665476220844,135,bottom,121.173955,-84.080187
R3,0,Jumpered_R_0402_1005Metric,2,3.3,120,-86.7,180,bottom,122.13562,-86.130797
R4,0,Jumpered_R_0402_1005Metric,7,3.3,122.333452377916,-92.3334523779156,45,bottom,121.070542,-88.437178
R5,0,Jumpered_R_0402_1005Metric,4,3.3,116.7,-90,-90,bottom,118.899947,-89.614427
R6,0,Jumpered_R_0402_1005Metric,5,3.3,117.666547622084,-92.3334523779156,-45,bottom,116.566506,-88.673493
R7,0,Jumpered_R_0402_1005Metric,6,3.3,120,-93.3,0,bottom,115.594882,-86.335858
D1,LED_Small_Filled,LED_0402_1005Metric,0,3.3,123.3,-90,90,top,118.9,-83.15
D2,LED_Small_Filled,LED_0402_1005Metric,1,3.3,122.333452377916,-87.6665476220844,135,top,121.15,-84
D3,LED_Small_Filled,LED_0402_1005Metric,2,3.3,120,-86.7,180,top,118.885,-86.35
D4,LED_Small_Filled,LED_0402_1005Metric,,,120,-90,0,top,122.1,-86.35
D5,LED_Small_Filled,LED_0402_1005Metric,4,3.3,116.7,-90,-90,top,115.7,-86.4
D6,LED_Small_Filled,LED_0402_1005Metric,5,3.3,117.666547622084,-92.3334523779156,-45,top,116.6,-88.65
D7,LED_Small_Filled,LED_0402_1005Metric,6,3.3,120,-93.3,0,top,118.9,-89.5
H1,MountingHole,0.5 npth,1.5,4,121.53073372946,-86.3044818699549,0,top,122.509537,-84.676134
H2,MountingHole,0.5 npth,3.5,4,116.304481869955,-88.4692662705396,0,top,121.89,-89.06
H3,MountingHole,0.5 npth,6.5,4,121.53073372946,-93.6955181300451,0,top,116.055879,-89.195033
TP1,,,0,2.4,122.4,-90,0,bottom,,
TP2,,,2,2.4,120,-87.6,0,bottom,,
TP3,,,6,2.4,120,-92.4,0,bottom,,
TP4,,,4,2.4,117.6,-90,0,bottom,,
